County ,Quarter,Year,Count,Median Price
Kent,Q3,2013,11,200000
Montgomery,Q3,2013,1462,385000
Prince George's,Q3,2013,971,209000
Queen Anne's,Q3,2013,65,280300
St. Mary's,Q3,2013,165,269900
Somerset,Q3,2013,4,171000
Talbot,Q3,2013,41,260000
Washington,Q3,2013,118,170000
Wicomico,Q3,2013,102,152500
Worcester,Q3,2013,61,222000
Allegany,Q4,2013,84,114750
Anne Arundel,Q4,2013,1423,335000
Baltimore City,Q4,2013,1070,180000
Baltimore,Q4,2013,1715,240000
Calvert,Q4,2013,128,346250
Caroline,Q4,2013,37,181000
Carroll,Q4,2013,376,300000
Cecil,Q4,2013,163,230000
Charles,Q4,2013,356,284000
Dorchester,Q4,2013,28,151100
Frederick,Q4,2013,664,313000
Garrett,Q4,2013,7,140000
Harford,Q4,2013,505,280000
Howard,Q4,2013,895,424000
Kent,Q4,2013,17,205000
Montgomery,Q4,2013,2340,435733
Prince George's,Q4,2013,1151,239500
Queen Anne's,Q4,2013,146,302500
St. Mary's,Q4,2013,240,286779
Somerset,Q4,2013,14,130750
Talbot,Q4,2013,110,260000
Washington,Q4,2013,235,193500
Wicomico,Q4,2013,156,165750
Worcester,Q4,2013,95,225000
Allegany,Q1,2014,71,110000
Anne Arundel,Q1,2014,1947,335000
Baltimore City,Q1,2014,863,220000
Baltimore,Q1,2014,1948,245000
Calvert,Q1,2014,209,334000
Caroline,Q1,2014,30,193000
Carroll,Q1,2014,451,305000
Cecil,Q1,2014,178,243250
Charles,Q1,2014,468,292413
Dorchester,Q1,2014,27,140000
Frederick,Q1,2014,710,299900
Garrett,Q1,2014,16,152200
Harford,Q1,2014,736,263500
Howard,Q1,2014,1091,431690
Kent,Q1,2014,19,220000
Montgomery,Q1,2014,2996,434750
Prince George's,Q1,2014,1392,250000
Queen Anne's,Q1,2014,152,320000
St. Mary's,Q1,2014,255,292275
Somerset,Q1,2014,20,129450
Talbot,Q1,2014,82,276250
Washington,Q1,2014,246,214376
Wicomico,Q1,2014,165,160000
Worcester,Q1,2014,90,220950
Allegany,Q2,2014,52,107750
Anne Arundel,Q2,2014,1307,343900
Baltimore City,Q2,2014,644,189229
Baltimore,Q2,2014,1602,235000
Calvert,Q2,2014,147,340000
Caroline,Q2,2014,30,184865
Carroll,Q2,2014,367,300000
Cecil,Q2,2014,164,238625
Charles,Q2,2014,384,307990
Dorchester,Q2,2014,23,157500
Frederick,Q2,2014,652,311735
Garrett,Q2,2014,10,159000
Harford,Q2,2014,505,274420
Howard,Q2,2014,794,421645
Kent,Q2,2014,11,210000
Montgomery,Q2,2014,2054,413500
Prince George's,Q2,2014,945,253000
Queen Anne's,Q2,2014,106,322299
St. Mary's,Q2,2014,248,284250
Somerset,Q2,2014,10,150500
Talbot,Q2,2014,74,284500
Washington,Q2,2014,202,190000
Wicomico,Q2,2014,140,174000
Worcester,Q2,2014,59,228000
Allegany,Q3,2014,58,92750
Anne Arundel,Q3,2014,926,315000
Baltimore City,Q3,2014,586,165000
Baltimore,Q3,2014,1200,230000
Calvert,Q3,2014,82,287500
Caroline,Q3,2014,26,178300
Carroll,Q3,2014,262,315000
Cecil,Q3,2014,102,222500
Charles,Q3,2014,260,299998
Dorchester,Q3,2014,22,151000
Frederick,Q3,2014,465,295000
Garrett,Q3,2014,10,140000
Harford,Q3,2014,348,249950
Howard,Q3,2014,557,420000
Kent,Q3,2014,11,207500
Montgomery,Q3,2014,1354,405000
Prince George's,Q3,2014,929,249900
Queen Anne's,Q3,2014,55,320000
St. Mary's,Q3,2014,171,264000
Somerset,Q3,2014,5,170000
Talbot,Q3,2014,55,335000
Washington,Q3,2014,149,165000
Wicomico,Q3,2014,127,168000
Worcester,Q3,2014,58,188750
Allegany,Q4,2014,87,99000
Anne Arundel,Q4,2014,1906,342694
Baltimore City,Q4,2014,750,195000
Baltimore,Q4,2014,1881,259900
Calvert,Q4,2014,168,375000
Caroline,Q4,2014,47,187000
Carroll,Q4,2014,423,310000
Cecil,Q4,2014,181,235000
Charles,Q4,2014,362,295000
Dorchester,Q4,2014,31,154500
Frederick,Q4,2014,790,321038
Garrett,Q4,2014,10,172500
Harford,Q4,2014,563,275000
Howard,Q4,2014,959,425000
Kent,Q4,2014,15,224350
Montgomery,Q4,2014,2362,450500
Prince George's,Q4,2014,1293,270000
Queen Anne's,Q4,2014,106,329000
St. Mary's,Q4,2014,278,287243
Somerset,Q4,2014,16,125950
Talbot,Q4,2014,89,285000
Washington,Q4,2014,271,197500
Wicomico,Q4,2014,134,150000
Worcester,Q4,2014,97,200000
Allegany,Q1,2015,86,108500
Anne Arundel,Q1,2015,1812,339900
Baltimore City,Q1,2015,651,209900
Baltimore,Q1,2015,2023,249900
Calvert,Q1,2015,229,355000
Caroline,Q1,2015,47,180000
Carroll,Q1,2015,476,297850
Cecil,Q1,2015,206,229000
Charles,Q1,2015,496,305000
Dorchester,Q1,2015,25,172500
Frederick,Q1,2015,782,308311
Garrett,Q1,2015,26,136250
Harford,Q1,2015,682,278750
Howard,Q1,2015,1000,445000
Kent,Q1,2015,21,222500
Montgomery,Q1,2015,2712,433983
Prince George's,Q1,2015,1621,280000
Queen Anne's,Q1,2015,150,326500
St. Mary's,Q1,2015,276,290750
Somerset,Q1,2015,18,134950
Talbot,Q1,2015,94,325000
Washington,Q1,2015,241,190000
Wicomico,Q1,2015,184,165000
Worcester,Q1,2015,99,225000
Allegany,Q2,2015,65,100000
Anne Arundel,Q2,2015,1543,330000
Baltimore City,Q2,2015,704,170000
Baltimore,Q2,2015,1784,239000
Calvert,Q2,2015,172,335000
Caroline,Q2,2015,42,176500
Carroll,Q2,2015,419,307250
Cecil,Q2,2015,198,236000
Charles,Q2,2015,461,305812
Dorchester,Q2,2015,29,169000
Frederick,Q2,2015,665,305000
Garrett,Q2,2015,7,132000
Harford,Q2,2015,530,270000
Howard,Q2,2015,750,434989
Kent,Q2,2015,17,210000
Montgomery,Q2,2015,1923,415000
Prince George's,Q2,2015,1442,275500
Queen Anne's,Q2,2015,160,328195
St. Mary's,Q2,2015,278,287450
Somerset,Q2,2015,20,122750
Talbot,Q2,2015,83,267500
Washington,Q2,2015,255,186500
Wicomico,Q2,2015,160,159450
Worcester,Q2,2015,99,220000
Allegany,Q3,2015,44,89972
Anne Arundel,Q3,2015,1165,333490
Baltimore City,Q3,2015,642,160000
Baltimore,Q3,2015,1377,232700
Calvert,Q3,2015,127,331195
Caroline,Q3,2015,38,169750
Carroll,Q3,2015,330,295943
Cecil,Q3,2015,120,210000
Charles,Q3,2015,309,299990
Dorchester,Q3,2015,15,143100
Frederick,Q3,2015,485,313000
Garrett,Q3,2015,5,80500
Harford,Q3,2015,384,279995
Howard,Q3,2015,585,428000
Kent,Q3,2015,11,230000
Montgomery,Q3,2015,1429,409000
Prince George's,Q3,2015,944,299000
Queen Anne's,Q3,2015,74,329248
St. Mary's,Q3,2015,187,269900
Somerset,Q3,2015,21,125000
Talbot,Q3,2015,72,280000
