County ,Quarter,Year,Count,Median Price
Allegany,Q1,2020,57,115000
Anne Arundel,Q1,2020,2485,369900
Baltimore City,Q1,2020,1017,217500
Baltimore,Q1,2020,2344,275000
Calvert,Q1,2020,403,340000
Caroline,Q1,2020,92,220000
Carroll,Q1,2020,660,350000
Cecil,Q1,2020,347,248700
Charles,Q1,2020,823,335000
Dorchester,Q1,2020,71,186000
Frederick,Q1,2020,1341,349900
Garrett,Q1,2020,57,150000
Harford,Q1,2020,1135,300000
Howard,Q1,2020,1300,459495
Kent,Q1,2020,37,234000
Montgomery,Q1,2020,3171,475000
Prince George's,Q1,2020,2426,350000
Queen Anne's,Q1,2020,212,348950
St. Mary's,Q1,2020,478,303975
Somerset,Q1,2020,36,161375
Talbot,Q1,2020,105,369900
Washington,Q1,2020,444,231000
Wicomico,Q1,2020,303,186500
Worcester,Q1,2020,114,247500
Allegany,Q2,2020,45,125000
Anne Arundel,Q2,2020,1986,375000
Baltimore City,Q2,2020,903,216450
Baltimore,Q2,2020,2039,260000
Calvert,Q2,2020,270,344450
Caroline,Q2,2020,95,209900
Carroll,Q2,2020,464,345000
Cecil,Q2,2020,297,249900
Charles,Q2,2020,714,345000
Dorchester,Q2,2020,73,190000
Frederick,Q2,2020,1248,362250
Garrett,Q2,2020,44,135000
Harford,Q2,2020,925,299000
Howard,Q2,2020,913,434500
Kent,Q2,2020,37,246500
Montgomery,Q2,2020,2597,465000
Prince George's,Q2,2020,2170,349965
Queen Anne's,Q2,2020,189,389900
St. Mary's,Q2,2020,354,299450
Somerset,Q2,2020,36,132500
Talbot,Q2,2020,101,335000
Washington,Q2,2020,402,239945
Wicomico,Q2,2020,222,189950
Worcester,Q2,2020,119,265000
Allegany,Q3,2020,31,138000
Anne Arundel,Q3,2020,1599,375000
Baltimore City,Q3,2020,490,210000
Baltimore,Q3,2020,1779,265000
Calvert,Q3,2020,223,360000
Caroline,Q3,2020,66,195000
Carroll,Q3,2020,426,330000
Cecil,Q3,2020,232,250000
Charles,Q3,2020,565,337490
Dorchester,Q3,2020,56,184950
Frederick,Q3,2020,985,360990
Garrett,Q3,2020,28,140750
Harford,Q3,2020,751,275000
Howard,Q3,2020,764,450000
Kent,Q3,2020,24,213250
Montgomery,Q3,2020,2067,465000
Prince George's,Q3,2020,1901,355500
Queen Anne's,Q3,2020,143,349000
St. Mary's,Q3,2020,314,305000
Somerset,Q3,2020,32,154450
Talbot,Q3,2020,98,327500
Washington,Q3,2020,312,223750
Wicomico,Q3,2020,206,185649
Worcester,Q3,2020,117,272500
Allegany,Q4,2020,32,127500
Anne Arundel,Q4,2020,2155,390000
Baltimore City,Q4,2020,404,235000
Baltimore,Q4,2020,2049,285000
Calvert,Q4,2020,380,368450
Caroline,Q4,2020,79,235000
Carroll,Q4,2020,609,359900
Cecil,Q4,2020,316,253500
Charles,Q4,2020,673,360000
Dorchester,Q4,2020,55,209900
Frederick,Q4,2020,1354,374900
Garrett,Q4,2020,32,173000
Harford,Q4,2020,1000,310000
Howard,Q4,2020,991,490000
Kent,Q4,2020,43,229000
Montgomery,Q4,2020,2565,500000
Prince George's,Q4,2020,2120,365000
Queen Anne's,Q4,2020,214,395000
St. Mary's,Q4,2020,423,318000
Somerset,Q4,2020,30,149200
Talbot,Q4,2020,120,328500
Washington,Q4,2020,451,245000
Wicomico,Q4,2020,250,203388
Worcester,Q4,2020,162,262800
