County ,Quarter,Year,Count,Median Price
Allegany,Q1,2023,24,161500
Anne Arundel,Q1,2023,2488,460000
Baltimore City,Q1,2023,1964,269900
Baltimore,Q1,2023,2147,342000
Calvert,Q1,2023,353,430000
Caroline,Q1,2023,100,279750
Carroll,Q1,2023,586,444000
Cecil,Q1,2023,338,329450
Charles,Q1,2023,801,429000
Dorchester,Q1,2023,88,249900
Frederick,Q1,2023,1306,478995
Garrett,Q1,2023,36,181250
Harford,Q1,2023,947,369900
Howard,Q1,2023,1182,563020
Kent,Q1,2023,66,320500
Montgomery,Q1,2023,2836,590000
Prince George's,Q1,2023,2275,425450
Queen Anne's,Q1,2023,256,478377
St. Mary's,Q1,2023,406,389000
Somerset,Q1,2023,47,195000
Talbot,Q1,2023,97,402000
Washington,Q1,2023,468,320000
Wicomico,Q1,2023,300,264000
Worcester,Q1,2023,140,357950
Allegany,Q2,2023,36,166900
Anne Arundel,Q2,2023,1607,450000
Baltimore City,Q2,2023,1847,250000
Baltimore,Q2,2023,1852,335000
Calvert,Q2,2023,224,415000
Caroline,Q2,2023,60,279500
Carroll,Q2,2023,460,418500
Cecil,Q2,2023,233,316000
Charles,Q2,2023,650,419900
Dorchester,Q2,2023,96,247148
Frederick,Q2,2023,1082,465000
Garrett,Q2,2023,38,221000
Harford,Q2,2023,747,355000
Howard,Q2,2023,885,530000
Kent,Q2,2023,34,356625
Montgomery,Q2,2023,2262,573505
Prince George's,Q2,2023,1772,420000
Queen Anne's,Q2,2023,155,479000
St. Mary's,Q2,2023,312,362703
Somerset,Q2,2023,52,189000
Talbot,Q2,2023,96,405000
Washington,Q2,2023,345,307000
Wicomico,Q2,2023,239,250500
Worcester,Q2,2023,102,370250
Allegany,Q3,2023,33,175000
Anne Arundel,Q3,2023,1417,450000
Baltimore City,Q3,2023,1717,240000
Baltimore,Q3,2023,1673,321000
Calvert,Q3,2023,174,378000
Caroline,Q3,2023,53,305000
Carroll,Q3,2023,347,410000
Cecil,Q3,2023,203,339990
Charles,Q3,2023,563,420900
Dorchester,Q3,2023,69,254990
Frederick,Q3,2023,895,450000
Garrett,Q3,2023,27,250000
Harford,Q3,2023,513,355000
Howard,Q3,2023,634,540000
Kent,Q3,2023,26,299995
Montgomery,Q3,2023,1671,550000
Prince George's,Q3,2023,2024,435000
Queen Anne's,Q3,2023,159,505000
St. Mary's,Q3,2023,218,375000
Somerset,Q3,2023,22,164450
Talbot,Q3,2023,77,375000
Washington,Q3,2023,281,290000
Wicomico,Q3,2023,193,245000
Worcester,Q3,2023,107,360000
Allegany,Q4,2023,21,165000
Anne Arundel,Q4,2023,1749,475000
Baltimore City,Q4,2023,1631,255000
Baltimore,Q4,2023,1994,360000
Calvert,Q4,2023,280,435000
Caroline,Q4,2023,68,299950
Carroll,Q4,2023,459,460000
Cecil,Q4,2023,231,351000
Charles,Q4,2023,689,435000
Dorchester,Q4,2023,117,290000
Frederick,Q4,2023,1125,475000
Garrett,Q4,2023,39,230000
Harford,Q4,2023,715,390000
Howard,Q4,2023,960,610000
Kent,Q4,2023,56,309990
Montgomery,Q4,2023,2503,650000
Prince George's,Q4,2023,1900,444623
Queen Anne's,Q4,2023,249,525000
St. Mary's,Q4,2023,367,400000
Somerset,Q4,2023,35,188000
Talbot,Q4,2023,92,407500
Washington,Q4,2023,359,330000
Wicomico,Q4,2023,263,260000
Worcester,Q4,2023,137,424990
