County ,Quarter,Year,Count,Median Price
Allegany,Q1,2021,51,131000
Anne Arundel,Q1,2021,2864,400000
Baltimore City,Q1,2021,532,241000
Baltimore,Q1,2021,2586,300000
Calvert,Q1,2021,461,365000
Caroline,Q1,2021,116,249500
Carroll,Q1,2021,743,375000
Cecil,Q1,2021,396,281988
Charles,Q1,2021,797,362000
Dorchester,Q1,2021,91,211057
Frederick,Q1,2021,1670,376190
Garrett,Q1,2021,58,193500
Harford,Q1,2021,1267,315000
Howard,Q1,2021,1424,475000
Kent,Q1,2021,75,275000
Montgomery,Q1,2021,3417,505000
Prince George's,Q1,2021,2681,380000
Queen Anne's,Q1,2021,326,393700
St. Mary's,Q1,2021,566,325000
Somerset,Q1,2021,44,148000
Talbot,Q1,2021,177,370000
Washington,Q1,2021,542,240000
Wicomico,Q1,2021,301,202000
Worcester,Q1,2021,202,275000
Allegany,Q2,2021,51,136000
Anne Arundel,Q2,2021,2703,400000
Baltimore City,Q2,2021,690,240000
Baltimore,Q2,2021,2676,295000
Calvert,Q2,2021,469,370000
Caroline,Q2,2021,99,245000
Carroll,Q2,2021,731,375000
Cecil,Q2,2021,377,279990
Charles,Q2,2021,840,370000
Dorchester,Q2,2021,90,210529
Frederick,Q2,2021,1556,386028
Garrett,Q2,2021,56,170500
Harford,Q2,2021,1283,315380
Howard,Q2,2021,1274,460000
Kent,Q2,2021,87,261000
Montgomery,Q2,2021,3565,515000
Prince George's,Q2,2021,2553,380000
Queen Anne's,Q2,2021,281,430000
St. Mary's,Q2,2021,502,332500
Somerset,Q2,2021,45,157000
Talbot,Q2,2021,180,366500
Washington,Q2,2021,547,259000
Wicomico,Q2,2021,326,200000
Worcester,Q2,2021,171,275000
Allegany,Q3,2021,31,111000
Anne Arundel,Q3,2021,2434,390000
Baltimore City,Q3,2021,2111,236797
Baltimore,Q3,2021,2778,282500
Calvert,Q3,2021,316,378250
Caroline,Q3,2021,100,247000
Carroll,Q3,2021,609,370000
Cecil,Q3,2021,320,285000
Charles,Q3,2021,1002,365000
Dorchester,Q3,2021,81,225000
Frederick,Q3,2021,1530,392385
Garrett,Q3,2021,37,180000
Harford,Q3,2021,1206,309950
Howard,Q3,2021,1141,465000
Kent,Q3,2021,65,265000
Montgomery,Q3,2021,3066,505000
Prince George's,Q3,2021,3317,375000
Queen Anne's,Q3,2021,227,390000
St. Mary's,Q3,2021,461,324900
Somerset,Q3,2021,42,164450
Talbot,Q3,2021,147,362000
Washington,Q3,2021,459,261900
Wicomico,Q3,2021,253,198500
Worcester,Q3,2021,132,292262
Allegany,Q4,2021,59,150000
Anne Arundel,Q4,2021,2729,422890
Baltimore City,Q4,2021,2455,235000
Baltimore,Q4,2021,2755,300000
Calvert,Q4,2021,485,415000
Caroline,Q4,2021,96,265000
Carroll,Q4,2021,734,388750
Cecil,Q4,2021,479,275000
Charles,Q4,2021,1033,389000
Dorchester,Q4,2021,94,229950
Frederick,Q4,2021,1934,425000
Garrett,Q4,2021,47,200000
Harford,Q4,2021,1356,331240
Howard,Q4,2021,1451,518000
Kent,Q4,2021,83,235501
Montgomery,Q4,2021,4226,551000
Prince George's,Q4,2021,2691,400000
Queen Anne's,Q4,2021,330,414491
St. Mary's,Q4,2021,614,350000
Somerset,Q4,2021,60,159900
Talbot,Q4,2021,177,370000
Washington,Q4,2021,550,255000
Wicomico,Q4,2021,335,220000
Worcester,Q4,2021,163,300000
